Date;Dernier;Ouv.;Plus Haut;Plus Bas;Vol.;Variation %
01/01/2015;5456;5373;5485;5372;-;2,43%
02/01/2015;5269;5376;5511;5203;268,71K;-3,44%
05/01/2015;5004;5261;5273;4968;375,78K;-5,03%
06/01/2015;4793;5000;5037;4755;451,64K;-4,22%
07/01/2015;4865;4800;4931;4683;460,08K;1,50%
08/01/2015;4879;4878;4965;4773;362,08K;0,29%
09/01/2015;4836;4892;4961;4716;421,01K;-0,88%
12/01/2015;4607;4819;4819;4562;394,95K;-4,74%
13/01/2015;4589;4569;4679;4420;476,54K;-0,39%
14/01/2015;4848;4616;4891;4501;510,25K;5,64%
15/01/2015;4625;4860;5127;4607;478,34K;-4,60%
16/01/2015;4869;4635;4887;4595;175,63K;5,28%
18/01/2015;4885;4895;4906;4878;-;0,32%
19/01/2015;4778;4884;4919;4764;-;-2,18%
20/01/2015;4639;4869;4877;4589;49,74K;-2,91%
21/01/2015;4778;4669;4820;4655;340,25K;3,00%
22/01/2015;4631;4735;4909;4587;426,83K;-3,08%
23/01/2015;4559;4663;4776;4521;374,29K;-1,55%
26/01/2015;4515;4520;4641;4435;310,64K;-0,97%
27/01/2015;4623;4513;4655;4481;313,14K;2,39%
28/01/2015;4445;4583;4583;4408;365,44K;-3,85%
29/01/2015;4453;4443;4496;4358;300,73K;0,18%
30/01/2015;4824;4463;4835;4431;454,14K;8,33%
02/02/2015;4957;4759;5056;4667;511,41K;2,76%
03/02/2015;5305;4979;5424;4969;644,92K;7,02%
04/02/2015;4845;5167;5256;4795;577,52K;-8,67%
05/02/2015;5048;4867;5210;4736;596,85K;4,19%
06/02/2015;5169;5086;5316;5072;584,98K;2,40%
09/02/2015;5286;5201;5399;5165;536,36K;2,26%
10/02/2015;5002;5243;5265;4986;501,70K;-5,37%
11/02/2015;4884;5098;5114;4805;519,27K;-2,36%
12/02/2015;5121;4942;5160;4914;563,66K;4,85%
13/02/2015;5278;5135;5343;5103;437,07K;3,07%
15/02/2015;5406;5375;5442;5371;-;2,42%
16/02/2015;5361;5404;5408;5292;-;-0,82%
17/02/2015;5353;5275;5415;5081;518,80K;-0,15%
18/02/2015;5214;5324;5341;5032;257,48K;-2,60%
19/02/2015;5116;5055;5214;4915;125,21K;-1,88%
20/02/2015;5034;5124;5185;4991;30,66K;-1,60%
23/02/2015;4945;5075;5099;4867;475,38K;-1,77%
24/02/2015;4928;4942;5033;4868;293,10K;-0,34%
25/02/2015;5099;4916;5128;4843;429,52K;3,47%
26/02/2015;4817;5100;5122;4780;459,58K;-5,53%
27/02/2015;4976;4897;4994;4846;399,49K;3,30%
02/03/2015;4959;4945;5104;4871;427,18K;-0,34%
03/03/2015;5052;4980;5083;4945;370,60K;1,88%
04/03/2015;5153;5061;5199;4960;463,99K;2,00%
05/03/2015;5076;5162;5240;5061;370,95K;-1,49%
06/03/2015;4961;5089;5122;4888;406,84K;-2,27%
09/03/2015;5000;4960;5079;4925;409,88K;0,79%
10/03/2015;4829;5008;5036;4820;395,76K;-3,42%
11/03/2015;4817;4877;4905;4733;404,59K;-0,25%
12/03/2015;4705;4844;4876;4686;358,38K;-2,33%
13/03/2015;4484;4693;4728;4475;395,72K;-4,70%
16/03/2015;4388;4481;4500;4285;367,60K;-2,14%
17/03/2015;4346;4384;4420;4241;346,31K;-0,96%
18/03/2015;4466;4251;4534;4203;220,64K;2,76%
19/03/2015;4396;4460;4471;4275;106,91K;-1,57%
20/03/2015;4572;4399;4653;4331;22,46K;4,00%
23/03/2015;4745;4641;4761;4533;292,42K;3,78%
24/03/2015;4751;4746;4856;4667;309,55K;0,13%
25/03/2015;4921;4772;4946;4700;398,80K;3,58%
26/03/2015;5143;4902;5248;4873;515,28K;4,51%
27/03/2015;4887;5101;5138;4821;384,09K;-4,98%
30/03/2015;4868;4857;4916;4761;355,87K;-0,39%
31/03/2015;4760;4873;4873;4728;365,75K;-2,22%
01/04/2015;5009;4755;5045;4705;451,10K;5,23%
02/04/2015;4914;4959;5027;4811;453,39K;-1,90%
03/04/2015;4914;4914;4914;4914;-;0,00%
06/04/2015;5214;4947;5224;4947;325,28K;6,11%
